timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/09 11:44:51.273, 0, 0, 17, 97887, 104.39, 2422, 12481, 68
2026/02/09 11:44:52.275, 0, 0, 8385, 97887, 108.70, 2422, 12481, 68
2026/02/09 11:44:53.275, 0, 0, 8385, 97887, 103.21, 2422, 12481, 68
2026/02/09 11:44:54.275, 0, 0, 8385, 97887, 103.21, 2422, 12481, 68
2026/02/09 11:44:55.276, 0, 0, 8385, 97887, 103.26, 2422, 12481, 68
2026/02/09 11:44:56.276, 0, 0, 8385, 97887, 102.97, 2422, 12481, 68
2026/02/09 11:44:57.276, 0, 0, 8385, 97887, 102.25, 2422, 12481, 68
2026/02/09 11:44:58.276, 0, 0, 8385, 97887, 103.21, 2422, 12481, 68
2026/02/09 11:44:59.276, 0, 0, 8457, 97887, 103.21, 2422, 12481, 68
2026/02/09 11:45:00.277, 0, 0, 8473, 97887, 107.05, 2422, 12481, 69
2026/02/09 11:45:01.277, 0, 0, 8473, 97887, 103.78, 2422, 12481, 69
2026/02/09 11:45:02.277, 0, 0, 8473, 97887, 102.73, 2422, 12481, 69
2026/02/09 11:45:03.277, 0, 0, 8473, 97887, 103.69, 2422, 12481, 69
2026/02/09 11:45:04.277, 0, 0, 8473, 97887, 103.69, 2422, 12481, 69
2026/02/09 11:45:05.278, 0, 0, 8481, 97887, 103.69, 2422, 12481, 69
2026/02/09 11:45:06.278, 95, 63, 8205, 97887, 348.11, 2370, 12481, 80
2026/02/09 11:45:07.278, 95, 63, 8205, 97887, 501.84, 2370, 12481, 81
2026/02/09 11:45:08.278, 95, 63, 8205, 97887, 504.91, 2362, 12481, 83
