timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/09 11:39:47.619, 0, 0, 16, 97887, 43.46, 180, 405, 61
2026/02/09 11:39:48.625, 14, 0, 19454, 97887, 76.40, 2422, 12481, 63
2026/02/09 11:39:49.625, 17, 0, 19458, 97887, 105.58, 2422, 12481, 63
2026/02/09 11:39:50.625, 17, 0, 19462, 97887, 105.87, 2422, 12481, 63
2026/02/09 11:39:51.626, 18, 0, 19466, 97887, 105.96, 2422, 12481, 63
2026/02/09 11:39:52.626, 18, 0, 19470, 97887, 106.07, 2422, 12481, 64
2026/02/09 11:39:53.626, 0, 0, 20002, 97887, 105.15, 2422, 12481, 64
2026/02/09 11:39:54.626, 56, 42, 19653, 97887, 434.13, 2422, 12481, 72
2026/02/09 11:39:55.626, 98, 74, 19653, 97887, 429.03, 2415, 12481, 73
2026/02/09 11:39:56.627, 98, 74, 19653, 97887, 437.27, 2415, 12481, 74
2026/02/09 11:39:57.627, 98, 74, 19653, 97887, 438.22, 2415, 12481, 75
2026/02/09 11:39:58.627, 98, 74, 19653, 97887, 438.06, 2415, 12481, 76
2026/02/09 11:39:59.628, 98, 74, 19653, 97887, 441.17, 2415, 12481, 77
2026/02/09 11:40:00.628, 99, 74, 19653, 97887, 444.03, 2415, 12481, 77
