timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:54:32.421, 00000000:01:00.0, 42 %, 28 %, 784 MiB, 16303 MiB, 50, 65.01 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:32.625, 00000000:01:00.0, 1 %, 1 %, 1014 MiB, 16303 MiB, 50, 64.81 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:32.827, 00000000:01:00.0, 1 %, 1 %, 7972 MiB, 16303 MiB, 50, 64.81 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:33.028, 00000000:01:00.0, 96 %, 6 %, 7972 MiB, 16303 MiB, 49, 64.29 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:33.230, 00000000:01:00.0, 96 %, 6 %, 8938 MiB, 16303 MiB, 49, 64.29 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:33.432, 00000000:01:00.0, 96 %, 6 %, 8938 MiB, 16303 MiB, 49, 64.29 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:33.633, 00000000:01:00.0, 80 %, 25 %, 1044 MiB, 16303 MiB, 66, 131.42 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:33.834, 00000000:01:00.0, 80 %, 25 %, 1014 MiB, 16303 MiB, 66, 131.42 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:34.045, 00000000:01:00.0, 0 %, 0 %, 7972 MiB, 16303 MiB, 50, 175.59 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:34.247, 00000000:01:00.0, 0 %, 0 %, 7972 MiB, 16303 MiB, 50, 175.59 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:34.449, 00000000:01:00.0, 0 %, 0 %, 8096 MiB, 16303 MiB, 50, 175.59 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:34.650, 00000000:01:00.0, 57 %, 41 %, 1019 MiB, 16303 MiB, 59, 125.39 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:34.851, 00000000:01:00.0, 57 %, 41 %, 1014 MiB, 16303 MiB, 59, 125.39 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:35.053, 00000000:01:00.0, 0 %, 0 %, 7972 MiB, 16303 MiB, 49, 100.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:35.254, 00000000:01:00.0, 0 %, 0 %, 7972 MiB, 16303 MiB, 49, 100.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:35.456, 00000000:01:00.0, 0 %, 0 %, 8930 MiB, 16303 MiB, 49, 100.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:35.657, 00000000:01:00.0, 54 %, 16 %, 8938 MiB, 16303 MiB, 62, 106.94 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:35.859, 00000000:01:00.0, 54 %, 16 %, 8938 MiB, 16303 MiB, 62, 106.94 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:36.060, 00000000:01:00.0, 64 %, 27 %, 784 MiB, 16303 MiB, 53, 175.34 W, 2797 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:36.263, 00000000:01:00.0, 64 %, 27 %, 1014 MiB, 16303 MiB, 53, 175.34 W, 2797 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:36.464, 00000000:01:00.0, 64 %, 27 %, 7972 MiB, 16303 MiB, 53, 175.34 W, 2797 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:36.666, 00000000:01:00.0, 71 %, 4 %, 8882 MiB, 16303 MiB, 49, 162.91 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:36.867, 00000000:01:00.0, 71 %, 4 %, 8886 MiB, 16303 MiB, 49, 162.91 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:37.068, 00000000:01:00.0, 98 %, 79 %, 8886 MiB, 16303 MiB, 60, 110.31 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:37.270, 00000000:01:00.0, 98 %, 79 %, 8886 MiB, 16303 MiB, 60, 110.31 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:37.470, 00000000:01:00.0, 98 %, 79 %, 8851 MiB, 16303 MiB, 60, 110.31 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:37.671, 00000000:01:00.0, 98 %, 78 %, 8851 MiB, 16303 MiB, 62, 203.24 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:37.873, 00000000:01:00.0, 98 %, 78 %, 8851 MiB, 16303 MiB, 62, 203.24 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:38.074, 00000000:01:00.0, 98 %, 79 %, 8851 MiB, 16303 MiB, 63, 273.25 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:38.275, 00000000:01:00.0, 98 %, 79 %, 8851 MiB, 16303 MiB, 63, 273.25 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:38.476, 00000000:01:00.0, 98 %, 79 %, 8851 MiB, 16303 MiB, 63, 273.25 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:38.677, 00000000:01:00.0, 98 %, 78 %, 8851 MiB, 16303 MiB, 63, 274.06 W, 2820 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:38.879, 00000000:01:00.0, 98 %, 78 %, 8851 MiB, 16303 MiB, 63, 274.06 W, 2820 MHz, 13801 MHz, 5, 16
