timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:49:36.625, 00000000:01:00.0, 1 %, 1 %, 715 MiB, 16303 MiB, 35, 43.06 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:36.829, 00000000:01:00.0, 7 %, 2 %, 728 MiB, 16303 MiB, 35, 44.22 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:37.031, 00000000:01:00.0, 7 %, 2 %, 2078 MiB, 16303 MiB, 35, 44.22 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:37.232, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 45.44 W, 2625 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:37.433, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 45.44 W, 2625 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:37.634, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 45.44 W, 2625 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:37.835, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 44.89 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:38.036, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 44.89 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:38.237, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.43 W, 2550 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:38.438, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.43 W, 2550 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:38.639, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.43 W, 2550 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:38.840, 00000000:01:00.0, 1 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.67 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:39.041, 00000000:01:00.0, 1 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.67 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:39.243, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.99 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:39.444, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.99 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:39.646, 00000000:01:00.0, 0 %, 0 %, 2078 MiB, 16303 MiB, 35, 42.99 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:39.847, 00000000:01:00.0, 0 %, 0 %, 2079 MiB, 16303 MiB, 35, 42.87 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:40.048, 00000000:01:00.0, 0 %, 0 %, 2080 MiB, 16303 MiB, 35, 42.87 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:40.249, 00000000:01:00.0, 0 %, 0 %, 2080 MiB, 16303 MiB, 35, 42.94 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:40.450, 00000000:01:00.0, 0 %, 0 %, 2080 MiB, 16303 MiB, 35, 42.94 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:40.651, 00000000:01:00.0, 0 %, 0 %, 2080 MiB, 16303 MiB, 35, 42.94 W, 2557 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:40.852, 00000000:01:00.0, 1 %, 0 %, 2080 MiB, 16303 MiB, 34, 39.95 W, 1050 MHz, 7001 MHz, 5, 16
2026/02/12 15:49:41.054, 00000000:01:00.0, 1 %, 0 %, 2080 MiB, 16303 MiB, 34, 39.95 W, 1050 MHz, 7001 MHz, 5, 16
2026/02/12 15:49:41.255, 00000000:01:00.0, 1 %, 2 %, 2080 MiB, 16303 MiB, 34, 32.77 W, 652 MHz, 810 MHz, 2, 16
2026/02/12 15:49:41.456, 00000000:01:00.0, 1 %, 2 %, 2080 MiB, 16303 MiB, 34, 32.77 W, 652 MHz, 810 MHz, 2, 16
2026/02/12 15:49:41.658, 00000000:01:00.0, 1 %, 2 %, 2080 MiB, 16303 MiB, 34, 32.77 W, 652 MHz, 810 MHz, 2, 16
2026/02/12 15:49:41.859, 00000000:01:00.0, 1 %, 2 %, 2082 MiB, 16303 MiB, 34, 25.40 W, 600 MHz, 810 MHz, 2, 16
2026/02/12 15:49:42.060, 00000000:01:00.0, 1 %, 2 %, 2082 MiB, 16303 MiB, 34, 25.40 W, 600 MHz, 810 MHz, 2, 16
2026/02/12 15:49:42.262, 00000000:01:00.0, 2 %, 3 %, 2082 MiB, 16303 MiB, 34, 21.33 W, 517 MHz, 810 MHz, 2, 16
2026/02/12 15:49:42.463, 00000000:01:00.0, 2 %, 3 %, 2082 MiB, 16303 MiB, 34, 21.33 W, 517 MHz, 810 MHz, 2, 16
2026/02/12 15:49:42.664, 00000000:01:00.0, 2 %, 3 %, 2082 MiB, 16303 MiB, 34, 21.33 W, 517 MHz, 810 MHz, 2, 16
2026/02/12 15:49:42.865, 00000000:01:00.0, 1 %, 2 %, 2082 MiB, 16303 MiB, 34, 21.45 W, 600 MHz, 810 MHz, 2, 16
2026/02/12 15:49:43.066, 00000000:01:00.0, 1 %, 2 %, 2082 MiB, 16303 MiB, 34, 21.45 W, 600 MHz, 810 MHz, 2, 16
2026/02/12 15:49:43.268, 00000000:01:00.0, 1 %, 5 %, 2082 MiB, 16303 MiB, 34, 19.16 W, 457 MHz, 405 MHz, 1, 16
2026/02/12 15:49:43.469, 00000000:01:00.0, 1 %, 5 %, 2082 MiB, 16303 MiB, 34, 19.16 W, 457 MHz, 405 MHz, 1, 16
