timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:53:34.997, 00000000:01:00.0, 9 %, 4 %, 783 MiB, 16303 MiB, 46, 56.63 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:35.202, 00000000:01:00.0, 1 %, 1 %, 1013 MiB, 16303 MiB, 46, 56.99 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:35.403, 00000000:01:00.0, 1 %, 1 %, 2141 MiB, 16303 MiB, 46, 56.99 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:35.604, 00000000:01:00.0, 15 %, 7 %, 786 MiB, 16303 MiB, 48, 71.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:35.805, 00000000:01:00.0, 15 %, 7 %, 1777 MiB, 16303 MiB, 48, 71.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:36.007, 00000000:01:00.0, 15 %, 7 %, 1014 MiB, 16303 MiB, 48, 71.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:36.208, 00000000:01:00.0, 2 %, 1 %, 1013 MiB, 16303 MiB, 46, 76.09 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:36.409, 00000000:01:00.0, 2 %, 1 %, 2125 MiB, 16303 MiB, 46, 76.09 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:36.610, 00000000:01:00.0, 49 %, 20 %, 1040 MiB, 16303 MiB, 52, 76.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:36.812, 00000000:01:00.0, 49 %, 20 %, 1013 MiB, 16303 MiB, 52, 76.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:37.013, 00000000:01:00.0, 49 %, 20 %, 2071 MiB, 16303 MiB, 52, 76.18 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:37.214, 00000000:01:00.0, 59 %, 34 %, 2071 MiB, 16303 MiB, 51, 77.55 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:37.416, 00000000:01:00.0, 59 %, 34 %, 2071 MiB, 16303 MiB, 51, 77.55 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:37.617, 00000000:01:00.0, 95 %, 57 %, 2065 MiB, 16303 MiB, 58, 156.68 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:37.818, 00000000:01:00.0, 95 %, 57 %, 2065 MiB, 16303 MiB, 58, 156.68 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:38.019, 00000000:01:00.0, 95 %, 57 %, 2065 MiB, 16303 MiB, 58, 156.68 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:38.220, 00000000:01:00.0, 0 %, 0 %, 2065 MiB, 16303 MiB, 49, 198.08 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:38.421, 00000000:01:00.0, 0 %, 0 %, 2065 MiB, 16303 MiB, 49, 198.08 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:38.623, 00000000:01:00.0, 0 %, 0 %, 2065 MiB, 16303 MiB, 46, 121.24 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:38.824, 00000000:01:00.0, 0 %, 0 %, 2065 MiB, 16303 MiB, 46, 121.24 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:39.025, 00000000:01:00.0, 0 %, 0 %, 2065 MiB, 16303 MiB, 46, 121.24 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:39.226, 00000000:01:00.0, 1 %, 0 %, 2089 MiB, 16303 MiB, 46, 52.83 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:39.427, 00000000:01:00.0, 1 %, 0 %, 2089 MiB, 16303 MiB, 46, 52.83 W, 2850 MHz, 13801 MHz, 5, 16
