timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:49:58.137, 00000000:01:00.0, 3 %, 1 %, 709 MiB, 16303 MiB, 39, 55.09 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:58.342, 00000000:01:00.0, 6 %, 3 %, 730 MiB, 16303 MiB, 39, 54.96 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:58.543, 00000000:01:00.0, 6 %, 3 %, 1817 MiB, 16303 MiB, 39, 54.96 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:58.744, 00000000:01:00.0, 1 %, 0 %, 1817 MiB, 16303 MiB, 38, 52.31 W, 2692 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:58.945, 00000000:01:00.0, 1 %, 0 %, 1817 MiB, 16303 MiB, 38, 52.31 W, 2692 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:59.146, 00000000:01:00.0, 1 %, 0 %, 1816 MiB, 16303 MiB, 38, 52.31 W, 2692 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:59.347, 00000000:01:00.0, 0 %, 0 %, 1816 MiB, 16303 MiB, 38, 46.90 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:59.549, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 38, 46.90 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:59.750, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 38, 43.48 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:49:59.952, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 38, 43.48 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:00.153, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 38, 43.48 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:00.354, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 37, 43.47 W, 2542 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:00.556, 00000000:01:00.0, 0 %, 0 %, 1820 MiB, 16303 MiB, 37, 43.47 W, 2542 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:00.757, 00000000:01:00.0, 0 %, 0 %, 1853 MiB, 16303 MiB, 37, 44.05 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:00.958, 00000000:01:00.0, 0 %, 0 %, 722 MiB, 16303 MiB, 37, 44.05 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:01.159, 00000000:01:00.0, 0 %, 0 %, 1513 MiB, 16303 MiB, 37, 44.05 W, 2535 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:01.361, 00000000:01:00.0, 20 %, 1 %, 722 MiB, 16303 MiB, 38, 64.28 W, 2550 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:01.561, 00000000:01:00.0, 20 %, 1 %, 1513 MiB, 16303 MiB, 38, 64.28 W, 2550 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:01.763, 00000000:01:00.0, 51 %, 8 %, 709 MiB, 16303 MiB, 43, 79.77 W, 2610 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:01.967, 00000000:01:00.0, 51 %, 8 %, 726 MiB, 16303 MiB, 43, 79.77 W, 2610 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:02.170, 00000000:01:00.0, 51 %, 8 %, 1815 MiB, 16303 MiB, 43, 79.77 W, 2610 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:02.371, 00000000:01:00.0, 67 %, 34 %, 1815 MiB, 16303 MiB, 47, 89.46 W, 2610 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:02.572, 00000000:01:00.0, 67 %, 34 %, 1815 MiB, 16303 MiB, 47, 89.46 W, 2610 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:02.773, 00000000:01:00.0, 96 %, 62 %, 1815 MiB, 16303 MiB, 50, 166.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:02.975, 00000000:01:00.0, 96 %, 62 %, 1815 MiB, 16303 MiB, 50, 166.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:03.176, 00000000:01:00.0, 96 %, 62 %, 1815 MiB, 16303 MiB, 50, 166.68 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:03.377, 00000000:01:00.0, 95 %, 59 %, 1815 MiB, 16303 MiB, 51, 231.14 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:03.579, 00000000:01:00.0, 95 %, 59 %, 1815 MiB, 16303 MiB, 51, 231.14 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:03.780, 00000000:01:00.0, 95 %, 59 %, 765 MiB, 16303 MiB, 52, 230.09 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:03.981, 00000000:01:00.0, 95 %, 59 %, 722 MiB, 16303 MiB, 52, 230.09 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:04.182, 00000000:01:00.0, 95 %, 59 %, 765 MiB, 16303 MiB, 52, 230.09 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:04.384, 00000000:01:00.0, 39 %, 2 %, 722 MiB, 16303 MiB, 41, 154.72 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:04.585, 00000000:01:00.0, 39 %, 2 %, 1831 MiB, 16303 MiB, 41, 154.72 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:04.787, 00000000:01:00.0, 89 %, 58 %, 1831 MiB, 16303 MiB, 49, 105.60 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:04.988, 00000000:01:00.0, 89 %, 58 %, 1831 MiB, 16303 MiB, 49, 105.60 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:05.189, 00000000:01:00.0, 89 %, 58 %, 1831 MiB, 16303 MiB, 49, 105.60 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:05.390, 00000000:01:00.0, 96 %, 62 %, 1831 MiB, 16303 MiB, 51, 177.33 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:05.592, 00000000:01:00.0, 96 %, 62 %, 1831 MiB, 16303 MiB, 51, 177.33 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:05.793, 00000000:01:00.0, 95 %, 59 %, 1831 MiB, 16303 MiB, 52, 231.89 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:05.995, 00000000:01:00.0, 95 %, 59 %, 1831 MiB, 16303 MiB, 52, 231.89 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:06.196, 00000000:01:00.0, 95 %, 59 %, 1831 MiB, 16303 MiB, 52, 231.89 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:06.397, 00000000:01:00.0, 96 %, 59 %, 1831 MiB, 16303 MiB, 52, 229.11 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:06.599, 00000000:01:00.0, 96 %, 59 %, 1831 MiB, 16303 MiB, 52, 229.11 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:06.800, 00000000:01:00.0, 96 %, 59 %, 1831 MiB, 16303 MiB, 53, 230.59 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:07.001, 00000000:01:00.0, 96 %, 59 %, 1831 MiB, 16303 MiB, 53, 230.59 W, 2850 MHz, 14001 MHz, 5, 16

# Benchmark phase markers
# MARKER: START pp1024+tg16 @ 2026/02/12 15:49:58.129670
# MARKER: END pp1024+tg16 @ 2026/02/12 15:50:01.308798
# MARKER: START pp1024+tg1024 @ 2026/02/12 15:50:01.308850
# MARKER: END pp1024+tg1024 @ 2026/02/12 15:50:03.837654
# MARKER: START pp16+tg1536 @ 2026/02/12 15:50:03.837696
# MARKER: END pp16+tg1536 @ 2026/02/12 15:50:07.184593
