timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:54:07.357, 00000000:01:00.0, 18 %, 13 %, 750 MiB, 16303 MiB, 49, 62.47 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:07.562, 00000000:01:00.0, 1 %, 1 %, 980 MiB, 16303 MiB, 49, 62.26 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:07.763, 00000000:01:00.0, 1 %, 1 %, 5370 MiB, 16303 MiB, 49, 62.26 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:07.965, 00000000:01:00.0, 64 %, 20 %, 5856 MiB, 16303 MiB, 58, 76.05 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:08.166, 00000000:01:00.0, 64 %, 20 %, 5856 MiB, 16303 MiB, 58, 76.05 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:08.367, 00000000:01:00.0, 64 %, 20 %, 750 MiB, 16303 MiB, 58, 76.05 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:08.592, 00000000:01:00.0, 0 %, 0 %, 980 MiB, 16303 MiB, 51, 130.28 W, 2820 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:08.793, 00000000:01:00.0, 0 %, 0 %, 5370 MiB, 16303 MiB, 51, 130.28 W, 2820 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:08.995, 00000000:01:00.0, 95 %, 76 %, 984 MiB, 16303 MiB, 56, 148.11 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:09.198, 00000000:01:00.0, 95 %, 76 %, 980 MiB, 16303 MiB, 56, 148.11 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:09.399, 00000000:01:00.0, 95 %, 76 %, 5370 MiB, 16303 MiB, 56, 148.11 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:09.601, 00000000:01:00.0, 96 %, 6 %, 5840 MiB, 16303 MiB, 48, 84.68 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:09.802, 00000000:01:00.0, 96 %, 6 %, 5856 MiB, 16303 MiB, 48, 84.68 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:10.003, 00000000:01:00.0, 98 %, 35 %, 1010 MiB, 16303 MiB, 63, 149.30 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:10.205, 00000000:01:00.0, 98 %, 35 %, 980 MiB, 16303 MiB, 63, 149.30 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:10.406, 00000000:01:00.0, 98 %, 35 %, 5370 MiB, 16303 MiB, 63, 149.30 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:10.607, 00000000:01:00.0, 87 %, 6 %, 5784 MiB, 16303 MiB, 48, 137.65 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:10.808, 00000000:01:00.0, 87 %, 6 %, 5784 MiB, 16303 MiB, 48, 137.65 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:11.009, 00000000:01:00.0, 98 %, 76 %, 5790 MiB, 16303 MiB, 60, 141.95 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:11.210, 00000000:01:00.0, 98 %, 76 %, 5790 MiB, 16303 MiB, 60, 141.95 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:11.412, 00000000:01:00.0, 98 %, 76 %, 5790 MiB, 16303 MiB, 60, 141.95 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:11.613, 00000000:01:00.0, 98 %, 76 %, 5790 MiB, 16303 MiB, 61, 225.76 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:11.814, 00000000:01:00.0, 98 %, 76 %, 5790 MiB, 16303 MiB, 61, 225.76 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:12.015, 00000000:01:00.0, 98 %, 78 %, 5790 MiB, 16303 MiB, 62, 272.35 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:12.217, 00000000:01:00.0, 98 %, 78 %, 5790 MiB, 16303 MiB, 62, 272.35 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:12.417, 00000000:01:00.0, 98 %, 78 %, 5790 MiB, 16303 MiB, 62, 272.35 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:12.619, 00000000:01:00.0, 98 %, 78 %, 5790 MiB, 16303 MiB, 63, 275.19 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:12.819, 00000000:01:00.0, 98 %, 78 %, 5790 MiB, 16303 MiB, 63, 275.19 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:13.020, 00000000:01:00.0, 98 %, 74 %, 5790 MiB, 16303 MiB, 63, 273.46 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:13.221, 00000000:01:00.0, 98 %, 74 %, 5790 MiB, 16303 MiB, 63, 273.46 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:13.422, 00000000:01:00.0, 98 %, 74 %, 5790 MiB, 16303 MiB, 63, 273.46 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:13.623, 00000000:01:00.0, 98 %, 74 %, 5790 MiB, 16303 MiB, 63, 270.07 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:13.824, 00000000:01:00.0, 98 %, 74 %, 5790 MiB, 16303 MiB, 63, 270.07 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:14.025, 00000000:01:00.0, 98 %, 75 %, 5790 MiB, 16303 MiB, 63, 271.35 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:14.226, 00000000:01:00.0, 98 %, 75 %, 5790 MiB, 16303 MiB, 63, 271.35 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:14.427, 00000000:01:00.0, 98 %, 75 %, 5814 MiB, 16303 MiB, 63, 271.35 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:14.628, 00000000:01:00.0, 93 %, 71 %, 5814 MiB, 16303 MiB, 63, 271.59 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:14.829, 00000000:01:00.0, 93 %, 71 %, 5814 MiB, 16303 MiB, 63, 271.59 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:15.029, 00000000:01:00.0, 98 %, 78 %, 5827 MiB, 16303 MiB, 63, 274.10 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:15.230, 00000000:01:00.0, 98 %, 78 %, 5827 MiB, 16303 MiB, 63, 274.10 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:15.431, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 63, 274.10 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:15.633, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 63, 274.78 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:15.833, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 63, 274.78 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:16.034, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 64, 277.80 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:16.235, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 64, 277.80 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:16.437, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 64, 277.80 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:16.638, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 64, 280.19 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:16.839, 00000000:01:00.0, 98 %, 78 %, 5826 MiB, 16303 MiB, 64, 280.19 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:17.040, 00000000:01:00.0, 98 %, 77 %, 5826 MiB, 16303 MiB, 64, 279.55 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:17.241, 00000000:01:00.0, 98 %, 77 %, 5826 MiB, 16303 MiB, 64, 279.55 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:17.442, 00000000:01:00.0, 98 %, 77 %, 5826 MiB, 16303 MiB, 64, 279.55 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:17.643, 00000000:01:00.0, 98 %, 77 %, 5826 MiB, 16303 MiB, 64, 279.56 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:17.844, 00000000:01:00.0, 98 %, 77 %, 5826 MiB, 16303 MiB, 64, 279.56 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:18.045, 00000000:01:00.0, 98 %, 77 %, 5833 MiB, 16303 MiB, 64, 278.39 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:18.246, 00000000:01:00.0, 98 %, 77 %, 1034 MiB, 16303 MiB, 64, 278.39 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:18.448, 00000000:01:00.0, 98 %, 77 %, 787 MiB, 16303 MiB, 64, 278.39 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:18.650, 00000000:01:00.0, 2 %, 1 %, 5390 MiB, 16303 MiB, 53, 237.20 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:18.852, 00000000:01:00.0, 2 %, 1 %, 5442 MiB, 16303 MiB, 53, 237.20 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:54:19.053, 00000000:01:00.0, 32 %, 18 %, 768 MiB, 16303 MiB, 50, 127.51 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:19.255, 00000000:01:00.0, 32 %, 18 %, 998 MiB, 16303 MiB, 50, 127.51 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:19.456, 00000000:01:00.0, 32 %, 18 %, 5388 MiB, 16303 MiB, 50, 127.51 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:19.657, 00000000:01:00.0, 85 %, 5 %, 5874 MiB, 16303 MiB, 48, 62.11 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:19.859, 00000000:01:00.0, 85 %, 5 %, 5874 MiB, 16303 MiB, 48, 62.11 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:20.060, 00000000:01:00.0, 98 %, 77 %, 5883 MiB, 16303 MiB, 61, 136.83 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:20.261, 00000000:01:00.0, 98 %, 77 %, 5882 MiB, 16303 MiB, 61, 136.83 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:20.462, 00000000:01:00.0, 98 %, 77 %, 5882 MiB, 16303 MiB, 61, 136.83 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:20.663, 00000000:01:00.0, 98 %, 78 %, 5882 MiB, 16303 MiB, 63, 249.21 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:20.864, 00000000:01:00.0, 98 %, 78 %, 5882 MiB, 16303 MiB, 63, 249.21 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:21.066, 00000000:01:00.0, 98 %, 78 %, 5882 MiB, 16303 MiB, 63, 275.97 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:21.267, 00000000:01:00.0, 98 %, 78 %, 5882 MiB, 16303 MiB, 63, 275.97 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:21.468, 00000000:01:00.0, 97 %, 76 %, 5882 MiB, 16303 MiB, 63, 277.92 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:21.669, 00000000:01:00.0, 97 %, 76 %, 5882 MiB, 16303 MiB, 63, 277.92 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:21.870, 00000000:01:00.0, 97 %, 76 %, 5882 MiB, 16303 MiB, 63, 277.92 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:22.071, 00000000:01:00.0, 98 %, 75 %, 5882 MiB, 16303 MiB, 64, 275.84 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:22.273, 00000000:01:00.0, 98 %, 75 %, 5883 MiB, 16303 MiB, 64, 275.84 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:22.474, 00000000:01:00.0, 98 %, 74 %, 5883 MiB, 16303 MiB, 64, 273.16 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:22.674, 00000000:01:00.0, 98 %, 74 %, 5883 MiB, 16303 MiB, 64, 273.16 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:22.875, 00000000:01:00.0, 98 %, 74 %, 5883 MiB, 16303 MiB, 64, 273.16 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:23.076, 00000000:01:00.0, 98 %, 76 %, 5883 MiB, 16303 MiB, 64, 273.35 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:23.278, 00000000:01:00.0, 98 %, 76 %, 5883 MiB, 16303 MiB, 64, 273.35 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:23.479, 00000000:01:00.0, 92 %, 74 %, 5907 MiB, 16303 MiB, 64, 274.14 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:54:23.680, 00000000:01:00.0, 92 %, 74 %, 5907 MiB, 16303 MiB, 64, 274.14 W, 2827 MHz, 13801 MHz, 5, 16
