timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:50:28.775, 00000000:01:00.0, 10 %, 7 %, 710 MiB, 16303 MiB, 43, 61.83 W, 2775 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:28.980, 00000000:01:00.0, 0 %, 0 %, 730 MiB, 16303 MiB, 43, 61.20 W, 2595 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:29.181, 00000000:01:00.0, 0 %, 0 %, 5139 MiB, 16303 MiB, 43, 61.20 W, 2595 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:29.382, 00000000:01:00.0, 64 %, 3 %, 5587 MiB, 16303 MiB, 43, 61.83 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:29.583, 00000000:01:00.0, 64 %, 3 %, 5605 MiB, 16303 MiB, 43, 61.83 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:29.785, 00000000:01:00.0, 64 %, 3 %, 770 MiB, 16303 MiB, 43, 61.83 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:29.986, 00000000:01:00.0, 6 %, 4 %, 723 MiB, 16303 MiB, 47, 122.37 W, 2827 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:30.188, 00000000:01:00.0, 6 %, 4 %, 5139 MiB, 16303 MiB, 47, 122.37 W, 2827 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:30.389, 00000000:01:00.0, 81 %, 4 %, 5134 MiB, 16303 MiB, 43, 125.02 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:30.590, 00000000:01:00.0, 81 %, 4 %, 1145 MiB, 16303 MiB, 43, 125.02 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:30.792, 00000000:01:00.0, 81 %, 4 %, 723 MiB, 16303 MiB, 43, 125.02 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:30.994, 00000000:01:00.0, 0 %, 0 %, 5139 MiB, 16303 MiB, 43, 81.34 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:31.195, 00000000:01:00.0, 0 %, 0 %, 5134 MiB, 16303 MiB, 43, 81.34 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:31.397, 00000000:01:00.0, 98 %, 30 %, 5605 MiB, 16303 MiB, 55, 104.33 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:31.598, 00000000:01:00.0, 98 %, 30 %, 4145 MiB, 16303 MiB, 55, 104.33 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:31.801, 00000000:01:00.0, 98 %, 30 %, 723 MiB, 16303 MiB, 55, 104.33 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:32.002, 00000000:01:00.0, 0 %, 0 %, 5139 MiB, 16303 MiB, 44, 131.96 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:32.203, 00000000:01:00.0, 0 %, 0 %, 5141 MiB, 16303 MiB, 44, 131.96 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:32.405, 00000000:01:00.0, 58 %, 46 %, 5565 MiB, 16303 MiB, 48, 134.01 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:32.606, 00000000:01:00.0, 58 %, 46 %, 5565 MiB, 16303 MiB, 48, 134.01 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:32.808, 00000000:01:00.0, 58 %, 46 %, 5565 MiB, 16303 MiB, 48, 134.01 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:33.009, 00000000:01:00.0, 98 %, 78 %, 5565 MiB, 16303 MiB, 55, 167.12 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:33.210, 00000000:01:00.0, 98 %, 78 %, 5565 MiB, 16303 MiB, 55, 167.12 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:33.412, 00000000:01:00.0, 97 %, 78 %, 5565 MiB, 16303 MiB, 56, 246.15 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:33.613, 00000000:01:00.0, 97 %, 78 %, 5565 MiB, 16303 MiB, 56, 246.15 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:33.815, 00000000:01:00.0, 97 %, 78 %, 5565 MiB, 16303 MiB, 56, 246.15 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:34.016, 00000000:01:00.0, 97 %, 77 %, 5565 MiB, 16303 MiB, 56, 256.71 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:34.218, 00000000:01:00.0, 97 %, 77 %, 5565 MiB, 16303 MiB, 56, 256.71 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:34.419, 00000000:01:00.0, 97 %, 77 %, 5565 MiB, 16303 MiB, 56, 256.95 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:34.620, 00000000:01:00.0, 97 %, 77 %, 5565 MiB, 16303 MiB, 56, 256.95 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:34.822, 00000000:01:00.0, 97 %, 77 %, 5565 MiB, 16303 MiB, 56, 256.95 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:35.023, 00000000:01:00.0, 98 %, 77 %, 5565 MiB, 16303 MiB, 57, 256.64 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:35.224, 00000000:01:00.0, 98 %, 77 %, 5565 MiB, 16303 MiB, 57, 256.64 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:35.426, 00000000:01:00.0, 98 %, 77 %, 5565 MiB, 16303 MiB, 57, 256.88 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:35.627, 00000000:01:00.0, 98 %, 77 %, 5565 MiB, 16303 MiB, 57, 256.88 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:35.828, 00000000:01:00.0, 98 %, 77 %, 5565 MiB, 16303 MiB, 57, 256.88 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:36.030, 00000000:01:00.0, 97 %, 76 %, 5565 MiB, 16303 MiB, 57, 256.74 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:36.231, 00000000:01:00.0, 97 %, 76 %, 5565 MiB, 16303 MiB, 57, 256.74 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:36.433, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 255.97 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:36.634, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 255.97 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:36.836, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 255.97 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:37.037, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 254.83 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:37.238, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 254.83 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:37.440, 00000000:01:00.0, 98 %, 76 %, 5565 MiB, 16303 MiB, 57, 255.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:37.641, 00000000:01:00.0, 98 %, 76 %, 5565 MiB, 16303 MiB, 57, 255.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:37.842, 00000000:01:00.0, 98 %, 76 %, 5565 MiB, 16303 MiB, 57, 255.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:38.044, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 256.11 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:38.245, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 57, 256.11 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:38.446, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 58, 257.14 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:38.648, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 58, 257.14 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:38.849, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 58, 257.14 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:39.051, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 58, 258.08 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:39.252, 00000000:01:00.0, 97 %, 75 %, 5565 MiB, 16303 MiB, 58, 258.08 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:39.454, 00000000:01:00.0, 96 %, 75 %, 5565 MiB, 16303 MiB, 58, 258.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:39.655, 00000000:01:00.0, 96 %, 75 %, 5565 MiB, 16303 MiB, 58, 258.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:39.857, 00000000:01:00.0, 96 %, 75 %, 767 MiB, 16303 MiB, 58, 258.28 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:40.058, 00000000:01:00.0, 54 %, 42 %, 723 MiB, 16303 MiB, 54, 249.91 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:40.259, 00000000:01:00.0, 54 %, 42 %, 5139 MiB, 16303 MiB, 54, 249.91 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:40.460, 00000000:01:00.0, 64 %, 3 %, 5141 MiB, 16303 MiB, 46, 149.87 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:40.662, 00000000:01:00.0, 64 %, 3 %, 762 MiB, 16303 MiB, 46, 149.87 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:40.868, 00000000:01:00.0, 64 %, 3 %, 723 MiB, 16303 MiB, 46, 149.87 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:41.069, 00000000:01:00.0, 0 %, 0 %, 5139 MiB, 16303 MiB, 45, 76.85 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:41.271, 00000000:01:00.0, 0 %, 0 %, 5637 MiB, 16303 MiB, 45, 76.85 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:41.473, 00000000:01:00.0, 74 %, 58 %, 5637 MiB, 16303 MiB, 51, 82.13 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:41.674, 00000000:01:00.0, 74 %, 58 %, 5637 MiB, 16303 MiB, 51, 82.13 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:41.875, 00000000:01:00.0, 74 %, 58 %, 5637 MiB, 16303 MiB, 51, 82.13 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:42.077, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 57, 171.67 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:42.278, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 57, 171.67 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:42.480, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 58, 250.76 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:42.681, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 58, 250.76 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:42.882, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 58, 257.36 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:43.084, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 58, 257.36 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:43.285, 00000000:01:00.0, 97 %, 77 %, 5637 MiB, 16303 MiB, 58, 257.36 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:43.487, 00000000:01:00.0, 98 %, 77 %, 5637 MiB, 16303 MiB, 58, 257.46 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:43.688, 00000000:01:00.0, 98 %, 77 %, 5637 MiB, 16303 MiB, 58, 257.46 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:43.889, 00000000:01:00.0, 98 %, 77 %, 5637 MiB, 16303 MiB, 58, 258.23 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:44.091, 00000000:01:00.0, 98 %, 77 %, 5637 MiB, 16303 MiB, 58, 258.23 W, 2835 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:44.292, 00000000:01:00.0, 98 %, 77 %, 5637 MiB, 16303 MiB, 58, 258.23 W, 2835 MHz, 14001 MHz, 5, 16
