timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:55:10.056, 00000000:01:00.0, 15 %, 11 %, 783 MiB, 16303 MiB, 51, 65.23 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:10.261, 00000000:01:00.0, 1 %, 1 %, 1013 MiB, 16303 MiB, 51, 65.28 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:55:10.462, 00000000:01:00.0, 1 %, 1 %, 7777 MiB, 16303 MiB, 51, 65.28 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:55:10.663, 00000000:01:00.0, 55 %, 4 %, 8265 MiB, 16303 MiB, 50, 65.08 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:10.865, 00000000:01:00.0, 55 %, 4 %, 8281 MiB, 16303 MiB, 50, 65.08 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:11.066, 00000000:01:00.0, 55 %, 4 %, 8281 MiB, 16303 MiB, 50, 65.08 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:11.267, 00000000:01:00.0, 99 %, 37 %, 1041 MiB, 16303 MiB, 67, 157.82 W, 2790 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:11.469, 00000000:01:00.0, 99 %, 37 %, 1013 MiB, 16303 MiB, 67, 157.82 W, 2790 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:11.670, 00000000:01:00.0, 24 %, 1 %, 7777 MiB, 16303 MiB, 51, 177.13 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:11.871, 00000000:01:00.0, 24 %, 1 %, 7777 MiB, 16303 MiB, 51, 177.13 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:12.073, 00000000:01:00.0, 24 %, 1 %, 7833 MiB, 16303 MiB, 51, 177.13 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:12.274, 00000000:01:00.0, 74 %, 61 %, 801 MiB, 16303 MiB, 59, 110.11 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:12.475, 00000000:01:00.0, 74 %, 61 %, 7777 MiB, 16303 MiB, 59, 110.11 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:12.677, 00000000:01:00.0, 97 %, 6 %, 7777 MiB, 16303 MiB, 50, 96.42 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:12.879, 00000000:01:00.0, 97 %, 6 %, 8265 MiB, 16303 MiB, 50, 96.42 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:13.080, 00000000:01:00.0, 97 %, 6 %, 8281 MiB, 16303 MiB, 50, 96.42 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:13.280, 00000000:01:00.0, 86 %, 31 %, 8281 MiB, 16303 MiB, 59, 132.93 W, 2805 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:13.481, 00000000:01:00.0, 86 %, 31 %, 783 MiB, 16303 MiB, 59, 132.93 W, 2805 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:13.683, 00000000:01:00.0, 1 %, 0 %, 1013 MiB, 16303 MiB, 52, 167.48 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:13.884, 00000000:01:00.0, 1 %, 0 %, 7777 MiB, 16303 MiB, 52, 167.48 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:14.085, 00000000:01:00.0, 1 %, 0 %, 8209 MiB, 16303 MiB, 52, 167.48 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:14.287, 00000000:01:00.0, 57 %, 45 %, 8209 MiB, 16303 MiB, 55, 135.95 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:14.488, 00000000:01:00.0, 57 %, 45 %, 8209 MiB, 16303 MiB, 55, 135.95 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:14.688, 00000000:01:00.0, 99 %, 82 %, 8209 MiB, 16303 MiB, 63, 179.51 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:14.890, 00000000:01:00.0, 99 %, 82 %, 8209 MiB, 16303 MiB, 63, 179.51 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:15.091, 00000000:01:00.0, 99 %, 82 %, 8188 MiB, 16303 MiB, 63, 179.51 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:15.292, 00000000:01:00.0, 99 %, 82 %, 8188 MiB, 16303 MiB, 64, 268.97 W, 2827 MHz, 13801 MHz, 5, 16
2026/02/12 15:55:15.493, 00000000:01:00.0, 99 %, 82 %, 8188 MiB, 16303 MiB, 64, 268.97 W, 2827 MHz, 13801 MHz, 5, 16
