timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:51:37.926, 00000000:01:00.0, 37 %, 17 %, 710 MiB, 16303 MiB, 48, 67.83 W, 2602 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:38.130, 00000000:01:00.0, 2 %, 1 %, 731 MiB, 16303 MiB, 47, 67.22 W, 2602 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:38.332, 00000000:01:00.0, 2 %, 1 %, 7515 MiB, 16303 MiB, 47, 67.22 W, 2602 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:38.533, 00000000:01:00.0, 81 %, 4 %, 7517 MiB, 16303 MiB, 48, 65.81 W, 2662 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:38.735, 00000000:01:00.0, 81 %, 4 %, 7993 MiB, 16303 MiB, 48, 65.81 W, 2662 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:38.936, 00000000:01:00.0, 81 %, 4 %, 8010 MiB, 16303 MiB, 48, 65.81 W, 2662 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:39.137, 00000000:01:00.0, 98 %, 28 %, 8010 MiB, 16303 MiB, 60, 101.58 W, 2842 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:39.339, 00000000:01:00.0, 98 %, 28 %, 4495 MiB, 16303 MiB, 60, 101.58 W, 2842 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:39.548, 00000000:01:00.0, 7 %, 5 %, 704 MiB, 16303 MiB, 50, 171.96 W, 2820 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:39.750, 00000000:01:00.0, 7 %, 5 %, 4738 MiB, 16303 MiB, 50, 171.96 W, 2820 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:39.956, 00000000:01:00.0, 7 %, 5 %, 7500 MiB, 16303 MiB, 50, 171.96 W, 2820 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:40.157, 00000000:01:00.0, 79 %, 4 %, 7502 MiB, 16303 MiB, 48, 138.93 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:51:40.358, 00000000:01:00.0, 79 %, 4 %, 7565 MiB, 16303 MiB, 48, 138.93 W, 2850 MHz, 14001 MHz, 5, 16
