timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:53:50.916, 00000000:01:00.0, 17 %, 10 %, 782 MiB, 16303 MiB, 46, 47.88 W, 2587 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:51.121, 00000000:01:00.0, 1 %, 1 %, 1012 MiB, 16303 MiB, 45, 48.16 W, 2587 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:51.322, 00000000:01:00.0, 1 %, 1 %, 3386 MiB, 16303 MiB, 45, 48.16 W, 2587 MHz, 14001 MHz, 5, 16
2026/02/12 15:53:51.523, 00000000:01:00.0, 24 %, 8 %, 3976 MiB, 16303 MiB, 45, 54.08 W, 2580 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:51.724, 00000000:01:00.0, 24 %, 8 %, 776 MiB, 16303 MiB, 45, 54.08 W, 2580 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:51.932, 00000000:01:00.0, 24 %, 8 %, 1006 MiB, 16303 MiB, 45, 54.08 W, 2580 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:52.133, 00000000:01:00.0, 1 %, 0 %, 3384 MiB, 16303 MiB, 47, 93.71 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:52.335, 00000000:01:00.0, 1 %, 0 %, 1015 MiB, 16303 MiB, 47, 93.71 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:52.536, 00000000:01:00.0, 0 %, 1 %, 1014 MiB, 16303 MiB, 47, 106.71 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:52.738, 00000000:01:00.0, 0 %, 1 %, 3384 MiB, 16303 MiB, 47, 106.71 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:52.939, 00000000:01:00.0, 0 %, 1 %, 3984 MiB, 16303 MiB, 47, 106.71 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:53.141, 00000000:01:00.0, 48 %, 16 %, 1044 MiB, 16303 MiB, 56, 81.23 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:53.342, 00000000:01:00.0, 48 %, 16 %, 1014 MiB, 16303 MiB, 56, 81.23 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:53.543, 00000000:01:00.0, 1 %, 0 %, 3358 MiB, 16303 MiB, 46, 96.78 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:53.745, 00000000:01:00.0, 1 %, 0 %, 3896 MiB, 16303 MiB, 46, 96.78 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:53.946, 00000000:01:00.0, 1 %, 0 %, 3896 MiB, 16303 MiB, 46, 96.78 W, 2850 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:54.146, 00000000:01:00.0, 97 %, 72 %, 3909 MiB, 16303 MiB, 59, 145.15 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:54.348, 00000000:01:00.0, 97 %, 72 %, 3909 MiB, 16303 MiB, 59, 145.15 W, 2842 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:54.549, 00000000:01:00.0, 97 %, 71 %, 3909 MiB, 16303 MiB, 60, 206.00 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:54.750, 00000000:01:00.0, 97 %, 71 %, 3912 MiB, 16303 MiB, 60, 206.00 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:54.951, 00000000:01:00.0, 97 %, 71 %, 3912 MiB, 16303 MiB, 60, 206.00 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:55.152, 00000000:01:00.0, 97 %, 69 %, 3912 MiB, 16303 MiB, 61, 270.35 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:55.353, 00000000:01:00.0, 97 %, 69 %, 3912 MiB, 16303 MiB, 61, 270.35 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:55.554, 00000000:01:00.0, 97 %, 69 %, 3912 MiB, 16303 MiB, 61, 270.29 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:55.755, 00000000:01:00.0, 97 %, 69 %, 3912 MiB, 16303 MiB, 61, 270.29 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:55.957, 00000000:01:00.0, 97 %, 69 %, 3936 MiB, 16303 MiB, 61, 270.29 W, 2835 MHz, 13801 MHz, 5, 16
2026/02/12 15:53:56.157, 00000000:01:00.0, 92 %, 65 %, 3936 MiB, 16303 MiB, 61, 268.13 W, 2835 MHz, 13801 MHz, 5, 16
