timestamp, pci.bus_id, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pcie.link.gen.current, pcie.link.width.current
2026/02/12 15:50:09.138, 00000000:01:00.0, 23 %, 8 %, 709 MiB, 16303 MiB, 40, 55.57 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:09.342, 00000000:01:00.0, 3 %, 2 %, 722 MiB, 16303 MiB, 40, 54.76 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:09.543, 00000000:01:00.0, 3 %, 2 %, 3119 MiB, 16303 MiB, 40, 54.76 W, 2565 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:09.745, 00000000:01:00.0, 24 %, 2 %, 3669 MiB, 16303 MiB, 40, 53.69 W, 2730 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:09.946, 00000000:01:00.0, 24 %, 2 %, 3669 MiB, 16303 MiB, 40, 53.69 W, 2730 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:10.147, 00000000:01:00.0, 24 %, 2 %, 3669 MiB, 16303 MiB, 40, 53.69 W, 2730 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:10.349, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 50.72 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:10.550, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 50.72 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:10.752, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 51.94 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:10.952, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 51.94 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:11.154, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 51.94 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:11.355, 00000000:01:00.0, 0 %, 0 %, 3669 MiB, 16303 MiB, 40, 51.94 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:11.556, 00000000:01:00.0, 0 %, 0 %, 3694 MiB, 16303 MiB, 40, 51.94 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:11.757, 00000000:01:00.0, 38 %, 15 %, 722 MiB, 16303 MiB, 42, 82.10 W, 2827 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:11.959, 00000000:01:00.0, 38 %, 15 %, 2782 MiB, 16303 MiB, 42, 82.10 W, 2827 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:12.161, 00000000:01:00.0, 38 %, 15 %, 3157 MiB, 16303 MiB, 42, 82.10 W, 2827 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:12.362, 00000000:01:00.0, 57 %, 3 %, 765 MiB, 16303 MiB, 40, 75.67 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:12.563, 00000000:01:00.0, 57 %, 3 %, 722 MiB, 16303 MiB, 40, 75.67 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:12.765, 00000000:01:00.0, 0 %, 0 %, 3119 MiB, 16303 MiB, 40, 68.47 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:12.966, 00000000:01:00.0, 0 %, 0 %, 3694 MiB, 16303 MiB, 40, 68.47 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:13.167, 00000000:01:00.0, 0 %, 0 %, 767 MiB, 16303 MiB, 40, 68.47 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:13.369, 00000000:01:00.0, 54 %, 21 %, 722 MiB, 16303 MiB, 43, 100.86 W, 2857 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:13.570, 00000000:01:00.0, 54 %, 21 %, 3119 MiB, 16303 MiB, 43, 100.86 W, 2857 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:13.771, 00000000:01:00.0, 71 %, 4 %, 3666 MiB, 16303 MiB, 44, 101.42 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:13.973, 00000000:01:00.0, 71 %, 4 %, 3666 MiB, 16303 MiB, 44, 101.42 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:14.174, 00000000:01:00.0, 71 %, 4 %, 3666 MiB, 16303 MiB, 44, 101.42 W, 2865 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:14.376, 00000000:01:00.0, 98 %, 72 %, 3666 MiB, 16303 MiB, 52, 157.70 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:14.577, 00000000:01:00.0, 98 %, 72 %, 3666 MiB, 16303 MiB, 52, 157.70 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:14.779, 00000000:01:00.0, 97 %, 72 %, 3666 MiB, 16303 MiB, 53, 234.31 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:14.980, 00000000:01:00.0, 97 %, 72 %, 3666 MiB, 16303 MiB, 53, 234.31 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:15.182, 00000000:01:00.0, 97 %, 72 %, 3666 MiB, 16303 MiB, 53, 234.31 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:15.383, 00000000:01:00.0, 98 %, 70 %, 3666 MiB, 16303 MiB, 53, 244.21 W, 2850 MHz, 14001 MHz, 5, 16
2026/02/12 15:50:15.584, 00000000:01:00.0, 98 %, 70 %, 3666 MiB, 16303 MiB, 53, 244.21 W, 2850 MHz, 14001 MHz, 5, 16
