timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/15 19:41:06.721, 0, 0, 0, 97887, 41.55, 180, 405, 58
2026/02/15 19:41:07.728, 70, 23, 1683, 97887, 135.84, 2407, 12481, 64
2026/02/15 19:41:08.728, 94, 38, 1683, 97887, 300.30, 2407, 12481, 65
2026/02/15 19:41:09.728, 94, 35, 1683, 97887, 301.90, 2407, 12481, 66
2026/02/15 19:41:10.728, 94, 37, 1683, 97887, 304.96, 2407, 12481, 67
2026/02/15 19:41:11.728, 94, 38, 1683, 97887, 302.90, 2415, 12481, 67
2026/02/15 19:41:12.728, 94, 35, 1699, 97887, 302.28, 2407, 12481, 68
2026/02/15 19:41:13.728, 94, 38, 1699, 97887, 310.62, 2415, 12481, 68
2026/02/15 19:41:14.729, 94, 35, 1699, 97887, 308.06, 2407, 12481, 69
2026/02/15 19:41:15.729, 94, 38, 1699, 97887, 310.77, 2415, 12481, 69
2026/02/15 19:41:16.729, 94, 37, 1699, 97887, 311.45, 2407, 12481, 70
2026/02/15 19:41:17.729, 94, 38, 1699, 97887, 311.23, 2415, 12481, 70
