timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/15 19:48:44.850, 0, 0, 0, 97887, 47.38, 180, 405, 69
2026/02/15 19:48:45.852, 14, 0, 4949, 97887, 74.20, 2422, 12481, 70
2026/02/15 19:48:46.852, 96, 22, 5475, 97887, 206.86, 2415, 12481, 81
2026/02/15 19:48:47.852, 97, 59, 5429, 97887, 477.27, 2392, 12481, 79
2026/02/15 19:48:48.852, 97, 59, 5429, 97887, 413.91, 2392, 12481, 80
2026/02/15 19:48:49.852, 97, 56, 5429, 97887, 411.48, 2400, 12481, 80
2026/02/15 19:48:50.853, 97, 59, 5429, 97887, 416.14, 2400, 12481, 81
2026/02/15 19:48:51.853, 97, 59, 5429, 97887, 421.50, 2400, 12481, 82
2026/02/15 19:48:52.853, 97, 59, 5429, 97887, 425.97, 2400, 12481, 83
2026/02/15 19:48:53.853, 97, 58, 5429, 97887, 421.08, 2392, 12481, 84
2026/02/15 19:48:54.853, 97, 56, 5429, 97887, 420.63, 2392, 12481, 84
2026/02/15 19:48:55.853, 97, 59, 5429, 97887, 424.90, 2400, 12481, 85
2026/02/15 19:48:56.853, 97, 59, 5429, 97887, 426.70, 2377, 12481, 86
2026/02/15 19:48:57.853, 97, 59, 5429, 97887, 418.88, 2347, 12481, 86
2026/02/15 19:48:58.854, 97, 57, 5429, 97887, 367.14, 2152, 12481, 85
2026/02/15 19:48:59.854, 97, 54, 5429, 97887, 345.36, 2077, 12481, 85
2026/02/15 19:49:00.854, 97, 53, 5429, 97887, 326.68, 2002, 12481, 85
2026/02/15 19:49:01.854, 97, 55, 5429, 97887, 319.56, 1890, 12481, 85
2026/02/15 19:49:02.854, 97, 54, 5429, 97887, 303.38, 1777, 12481, 85
2026/02/15 19:49:03.854, 97, 53, 5501, 97887, 290.80, 1687, 12481, 85
2026/02/15 19:49:04.854, 98, 52, 5501, 97887, 277.16, 1635, 12481, 85
2026/02/15 19:49:05.854, 98, 48, 5501, 97887, 262.96, 1560, 12481, 85
2026/02/15 19:49:06.855, 98, 46, 5501, 97887, 253.68, 1485, 12481, 85
2026/02/15 19:49:07.855, 98, 46, 5501, 97887, 241.71, 1290, 12481, 85
2026/02/15 19:49:08.855, 97, 43, 5501, 97887, 239.95, 1237, 12481, 85
2026/02/15 19:49:09.855, 98, 41, 5501, 97887, 229.01, 1102, 12481, 85
2026/02/15 19:49:10.855, 98, 38, 5501, 97887, 221.92, 982, 12481, 85
2026/02/15 19:49:11.855, 98, 34, 5501, 97887, 211.73, 855, 12481, 85
