timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/15 20:03:55.645, 0, 0, 0, 97887, 65.08, 180, 405, 89
2026/02/15 20:03:56.651, 54, 1, 3569, 97887, 73.94, 420, 12481, 90
2026/02/15 20:03:57.652, 98, 2, 3569, 97887, 107.75, 420, 12481, 90
2026/02/15 20:03:58.652, 93, 3, 3569, 97887, 107.81, 420, 12481, 90
2026/02/15 20:03:59.652, 100, 2, 3569, 97887, 108.33, 420, 12481, 90
2026/02/15 20:04:00.652, 100, 2, 3047, 97887, 108.01, 420, 12481, 90
2026/02/15 20:04:01.652, 99, 8, 3533, 97887, 124.37, 420, 12481, 90
2026/02/15 20:04:02.652, 99, 8, 3533, 97887, 129.67, 420, 12481, 90
2026/02/15 20:04:03.653, 99, 8, 3533, 97887, 131.49, 420, 12481, 90
2026/02/15 20:04:04.653, 99, 8, 3533, 97887, 131.97, 420, 12481, 90
2026/02/15 20:04:05.653, 99, 8, 3533, 97887, 131.77, 420, 12481, 90
2026/02/15 20:04:06.653, 99, 8, 3533, 97887, 131.70, 420, 12481, 90
2026/02/15 20:04:07.653, 99, 8, 3533, 97887, 131.12, 420, 12481, 91
2026/02/15 20:04:08.653, 100, 8, 3533, 97887, 130.78, 420, 12481, 91
2026/02/15 20:04:09.653, 99, 8, 3533, 97887, 131.31, 420, 12481, 91
2026/02/15 20:04:10.653, 99, 7, 3533, 97887, 131.22, 420, 12481, 91
2026/02/15 20:04:11.654, 99, 8, 3533, 97887, 131.48, 420, 12481, 91
2026/02/15 20:04:12.654, 94, 7, 3533, 97887, 131.72, 420, 12481, 91
2026/02/15 20:04:13.654, 99, 8, 3533, 97887, 132.09, 420, 12481, 91
2026/02/15 20:04:14.654, 99, 8, 3533, 97887, 132.89, 420, 12481, 91
2026/02/15 20:04:15.654, 99, 8, 3533, 97887, 132.88, 420, 12481, 91
2026/02/15 20:04:16.654, 99, 8, 3533, 97887, 132.86, 420, 12481, 91
2026/02/15 20:04:17.654, 99, 8, 3533, 97887, 132.84, 420, 12481, 91
2026/02/15 20:04:18.654, 99, 8, 3533, 97887, 133.09, 420, 12481, 91
2026/02/15 20:04:19.655, 99, 8, 3533, 97887, 133.07, 420, 12481, 92
2026/02/15 20:04:20.655, 99, 8, 3533, 97887, 133.07, 420, 12481, 92
2026/02/15 20:04:21.655, 99, 8, 3533, 97887, 133.65, 420, 12481, 92
2026/02/15 20:04:22.655, 99, 8, 3533, 97887, 133.57, 420, 12481, 92
2026/02/15 20:04:23.655, 99, 8, 3533, 97887, 133.85, 420, 12481, 92
2026/02/15 20:04:24.655, 99, 8, 3533, 97887, 133.96, 420, 12481, 92
2026/02/15 20:04:25.655, 99, 8, 3533, 97887, 134.32, 420, 12481, 92
2026/02/15 20:04:26.656, 99, 8, 3533, 97887, 134.41, 420, 12481, 92
2026/02/15 20:04:27.656, 100, 8, 3533, 97887, 134.55, 420, 12481, 92
