timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], clocks.current.graphics [MHz], clocks.current.memory [MHz], temperature.gpu
2026/02/15 20:07:58.887, 0, 0, 0, 97887, 74.16, 180, 405, 99
2026/02/15 20:07:59.893, 100, 1, 1961, 97887, 85.76, 180, 12481, 100
2026/02/15 20:08:00.894, 98, 1, 1961, 97887, 109.73, 180, 12481, 100
2026/02/15 20:08:01.894, 99, 3, 1421, 97887, 110.02, 180, 12481, 100
2026/02/15 20:08:02.894, 99, 3, 1937, 97887, 115.33, 180, 12481, 100
2026/02/15 20:08:03.894, 99, 3, 1937, 97887, 115.46, 180, 12481, 100
2026/02/15 20:08:04.894, 99, 3, 1937, 97887, 115.78, 180, 12481, 100
2026/02/15 20:08:05.894, 99, 3, 1937, 97887, 115.72, 180, 12481, 100
2026/02/15 20:08:06.894, 99, 3, 1937, 97887, 116.02, 180, 12481, 100
2026/02/15 20:08:07.895, 99, 3, 1937, 97887, 115.45, 180, 12481, 100
2026/02/15 20:08:08.895, 99, 3, 1937, 97887, 116.07, 180, 12481, 100
2026/02/15 20:08:09.895, 99, 3, 1937, 97887, 116.15, 180, 12481, 100
2026/02/15 20:08:10.895, 99, 3, 1937, 97887, 115.63, 180, 12481, 100
2026/02/15 20:08:11.895, 99, 3, 1937, 97887, 115.59, 180, 12481, 100
2026/02/15 20:08:12.895, 99, 3, 1937, 97887, 116.66, 180, 12481, 100
2026/02/15 20:08:13.895, 99, 3, 1937, 97887, 116.12, 180, 12481, 100
2026/02/15 20:08:14.896, 99, 3, 1937, 97887, 117.02, 180, 12481, 100
2026/02/15 20:08:15.896, 99, 3, 1937, 97887, 118.33, 180, 12481, 100
2026/02/15 20:08:16.896, 99, 3, 1937, 97887, 117.54, 180, 12481, 100
2026/02/15 20:08:17.896, 99, 3, 1937, 97887, 116.08, 180, 12481, 100
2026/02/15 20:08:18.896, 99, 3, 1937, 97887, 116.47, 180, 12481, 100
2026/02/15 20:08:19.896, 99, 3, 1937, 97887, 116.86, 180, 12481, 100
2026/02/15 20:08:20.896, 99, 3, 1937, 97887, 116.86, 180, 12481, 100
2026/02/15 20:08:21.896, 99, 3, 1937, 97887, 116.56, 180, 12481, 100
2026/02/15 20:08:22.897, 99, 3, 1937, 97887, 117.13, 180, 12481, 101
2026/02/15 20:08:23.897, 99, 3, 1937, 97887, 116.54, 180, 12481, 101
2026/02/15 20:08:24.897, 99, 3, 1937, 97887, 117.41, 180, 12481, 101
2026/02/15 20:08:25.897, 99, 3, 1937, 97887, 116.61, 180, 12481, 101
2026/02/15 20:08:26.897, 99, 3, 1937, 97887, 116.07, 180, 12481, 101
2026/02/15 20:08:27.898, 99, 3, 1937, 97887, 116.99, 180, 12481, 101
2026/02/15 20:08:28.898, 99, 3, 1937, 97887, 115.28, 180, 12481, 101
2026/02/15 20:08:29.898, 99, 3, 1937, 97887, 115.81, 180, 12481, 101
2026/02/15 20:08:30.898, 98, 3, 1937, 97887, 116.36, 180, 12481, 101
2026/02/15 20:08:31.898, 99, 3, 1937, 97887, 117.41, 180, 12481, 101
2026/02/15 20:08:32.899, 99, 3, 1937, 97887, 117.46, 180, 12481, 101
2026/02/15 20:08:33.899, 99, 3, 1937, 97887, 117.55, 180, 12481, 101
2026/02/15 20:08:34.899, 99, 3, 1937, 97887, 117.79, 180, 12481, 101
2026/02/15 20:08:35.899, 99, 3, 1937, 97887, 117.98, 180, 12481, 101
2026/02/15 20:08:36.899, 99, 3, 1937, 97887, 117.20, 180, 12481, 101
2026/02/15 20:08:37.899, 98, 3, 1937, 97887, 117.79, 180, 12481, 101
2026/02/15 20:08:38.899, 99, 3, 1937, 97887, 117.81, 180, 12481, 101
2026/02/15 20:08:39.900, 99, 3, 1937, 97887, 117.87, 180, 12481, 101
2026/02/15 20:08:40.900, 99, 3, 1937, 97887, 117.61, 180, 12481, 101
2026/02/15 20:08:41.900, 99, 3, 1937, 97887, 117.10, 180, 12481, 101
2026/02/15 20:08:42.900, 99, 3, 1937, 97887, 117.39, 180, 12481, 101
2026/02/15 20:08:43.900, 99, 3, 1937, 97887, 118.35, 180, 12481, 101
2026/02/15 20:08:44.900, 99, 3, 1937, 97887, 119.23, 180, 12481, 101
2026/02/15 20:08:45.900, 99, 3, 1939, 97887, 118.62, 180, 12481, 101
2026/02/15 20:08:46.900, 99, 3, 1939, 97887, 118.57, 180, 12481, 101
2026/02/15 20:08:47.901, 99, 3, 1939, 97887, 118.47, 180, 12481, 101
2026/02/15 20:08:48.901, 99, 3, 1939, 97887, 118.73, 180, 12481, 101
2026/02/15 20:08:49.901, 99, 3, 1939, 97887, 118.74, 180, 12481, 101
2026/02/15 20:08:50.901, 99, 3, 1939, 97887, 117.94, 180, 12481, 101
2026/02/15 20:08:51.901, 99, 3, 1939, 97887, 119.04, 180, 12481, 101
2026/02/15 20:08:52.901, 100, 1, 1939, 97887, 111.99, 180, 12481, 101
2026/02/15 20:08:53.901, 99, 1, 1939, 97887, 110.12, 180, 12481, 101
2026/02/15 20:08:54.901, 99, 1, 1939, 97887, 111.50, 180, 12481, 101
2026/02/15 20:08:55.902, 99, 1, 1939, 97887, 110.92, 180, 12481, 101
2026/02/15 20:08:56.902, 100, 1, 1939, 97887, 110.99, 180, 12481, 101
2026/02/15 20:08:57.902, 100, 1, 1939, 97887, 111.70, 180, 12481, 101
2026/02/15 20:08:58.902, 99, 1, 1939, 97887, 111.15, 180, 12481, 101
2026/02/15 20:08:59.902, 100, 1, 1939, 97887, 110.97, 180, 12481, 101
2026/02/15 20:09:00.902, 99, 1, 1939, 97887, 111.23, 180, 12481, 102
2026/02/15 20:09:01.902, 99, 1, 1939, 97887, 111.40, 180, 12481, 102
2026/02/15 20:09:02.903, 100, 1, 1939, 97887, 111.32, 180, 12481, 102
2026/02/15 20:09:03.903, 99, 1, 1939, 97887, 111.33, 180, 12481, 102
2026/02/15 20:09:04.903, 99, 1, 1939, 97887, 111.49, 180, 12481, 102
2026/02/15 20:09:05.903, 100, 1, 1939, 97887, 111.25, 180, 12481, 102
2026/02/15 20:09:06.903, 99, 1, 1939, 97887, 111.21, 180, 12481, 102
2026/02/15 20:09:07.903, 99, 1, 1939, 97887, 111.70, 172, 12481, 102
2026/02/15 20:09:08.903, 99, 1, 1939, 97887, 111.52, 180, 12481, 102
2026/02/15 20:09:09.903, 100, 1, 1939, 97887, 111.38, 180, 12481, 102
2026/02/15 20:09:10.904, 100, 1, 1939, 97887, 111.80, 180, 12481, 102
2026/02/15 20:09:11.904, 99, 1, 1939, 97887, 111.67, 180, 12481, 102
2026/02/15 20:09:12.904, 99, 1, 1939, 97887, 111.66, 180, 12481, 102
2026/02/15 20:09:13.904, 99, 1, 1939, 97887, 111.77, 180, 12481, 102
2026/02/15 20:09:14.904, 100, 1, 1939, 97887, 112.13, 180, 12481, 102
2026/02/15 20:09:15.904, 100, 1, 1939, 97887, 112.18, 180, 12481, 102
2026/02/15 20:09:16.904, 100, 1, 1939, 97887, 111.90, 180, 12481, 102
2026/02/15 20:09:17.904, 99, 1, 1939, 97887, 111.86, 180, 12481, 102
2026/02/15 20:09:18.905, 99, 1, 1939, 97887, 112.32, 180, 12481, 102
2026/02/15 20:09:19.905, 99, 1, 1939, 97887, 111.99, 180, 12481, 102
2026/02/15 20:09:20.905, 99, 1, 1939, 97887, 111.88, 180, 12481, 102
2026/02/15 20:09:21.905, 99, 1, 1939, 97887, 112.07, 172, 12481, 102
2026/02/15 20:09:22.905, 99, 1, 1939, 97887, 111.91, 180, 12481, 102
2026/02/15 20:09:23.905, 99, 1, 1939, 97887, 112.88, 180, 12481, 102
2026/02/15 20:09:24.905, 100, 1, 1939, 97887, 111.79, 180, 12481, 102
2026/02/15 20:09:25.906, 99, 1, 1939, 97887, 112.35, 180, 12481, 102
2026/02/15 20:09:26.906, 99, 1, 1939, 97887, 112.55, 180, 12481, 102
2026/02/15 20:09:27.906, 99, 1, 1939, 97887, 112.09, 180, 12481, 102
2026/02/15 20:09:28.906, 100, 1, 1939, 97887, 112.43, 180, 12481, 102
2026/02/15 20:09:29.906, 99, 1, 1939, 97887, 112.72, 180, 12481, 102
2026/02/15 20:09:30.906, 99, 1, 1939, 97887, 112.53, 180, 12481, 102
2026/02/15 20:09:31.906, 100, 1, 1939, 97887, 112.68, 180, 12481, 102
2026/02/15 20:09:32.906, 99, 1, 1939, 97887, 112.89, 180, 12481, 102
2026/02/15 20:09:33.906, 98, 1, 1939, 97887, 112.37, 180, 12481, 102
2026/02/15 20:09:34.907, 99, 1, 1939, 97887, 112.54, 180, 12481, 102
2026/02/15 20:09:35.907, 100, 1, 1939, 97887, 112.32, 180, 12481, 102
2026/02/15 20:09:36.907, 99, 1, 1939, 97887, 111.99, 180, 12481, 102
2026/02/15 20:09:37.907, 99, 1, 1939, 97887, 113.03, 180, 12481, 102
2026/02/15 20:09:38.907, 99, 1, 1939, 97887, 112.48, 180, 12481, 102
2026/02/15 20:09:39.907, 100, 1, 1939, 97887, 111.96, 180, 12481, 102
2026/02/15 20:09:40.907, 98, 1, 1939, 97887, 113.55, 180, 12481, 102
2026/02/15 20:09:41.908, 99, 1, 1939, 97887, 113.06, 180, 12481, 102
2026/02/15 20:09:42.908, 99, 1, 1939, 97887, 112.53, 180, 12481, 102
2026/02/15 20:09:43.908, 99, 1, 1939, 97887, 112.71, 180, 12481, 102
2026/02/15 20:09:44.908, 100, 1, 1939, 97887, 112.93, 180, 12481, 102
2026/02/15 20:09:45.908, 99, 1, 1939, 97887, 112.95, 180, 12481, 102
2026/02/15 20:09:46.908, 99, 1, 1939, 97887, 112.88, 180, 12481, 102
2026/02/15 20:09:47.909, 100, 1, 1939, 97887, 113.17, 180, 12481, 102
2026/02/15 20:09:48.909, 100, 1, 1939, 97887, 113.05, 180, 12481, 103
2026/02/15 20:09:49.909, 99, 1, 1939, 97887, 112.73, 180, 12481, 103
2026/02/15 20:09:50.909, 99, 1, 1939, 97887, 113.00, 180, 12481, 103
2026/02/15 20:09:51.909, 99, 1, 1939, 97887, 112.92, 180, 12481, 103
2026/02/15 20:09:52.909, 100, 1, 1939, 97887, 113.22, 180, 12481, 103
2026/02/15 20:09:53.909, 100, 1, 1939, 97887, 112.96, 180, 12481, 103
2026/02/15 20:09:54.910, 99, 1, 1939, 97887, 112.91, 180, 12481, 103
2026/02/15 20:09:55.910, 99, 1, 1939, 97887, 113.18, 180, 12481, 103
2026/02/15 20:09:56.910, 99, 1, 1939, 97887, 112.75, 180, 12481, 103
2026/02/15 20:09:57.910, 99, 1, 1939, 97887, 113.14, 180, 12481, 103
2026/02/15 20:09:58.910, 100, 1, 1939, 97887, 113.35, 180, 12481, 103
2026/02/15 20:09:59.910, 100, 1, 1939, 97887, 113.47, 180, 12481, 103
2026/02/15 20:10:00.910, 100, 1, 1939, 97887, 113.48, 180, 12481, 103
2026/02/15 20:10:01.910, 99, 1, 1939, 97887, 113.78, 180, 12481, 103
2026/02/15 20:10:02.911, 99, 1, 1939, 97887, 113.96, 180, 12481, 103
2026/02/15 20:10:03.911, 100, 1, 1939, 97887, 113.26, 180, 12481, 103
2026/02/15 20:10:04.911, 99, 1, 1939, 97887, 114.05, 180, 12481, 103
2026/02/15 20:10:05.911, 99, 1, 1939, 97887, 113.63, 180, 12481, 103
2026/02/15 20:10:06.911, 99, 1, 1939, 97887, 113.96, 180, 12481, 103
2026/02/15 20:10:07.911, 99, 1, 1939, 97887, 114.52, 180, 12481, 103
2026/02/15 20:10:08.911, 99, 1, 1939, 97887, 113.58, 180, 12481, 103
2026/02/15 20:10:09.911, 99, 1, 1939, 97887, 114.19, 180, 12481, 103
2026/02/15 20:10:10.912, 99, 1, 1939, 97887, 113.70, 180, 12481, 103
2026/02/15 20:10:11.912, 99, 1, 1939, 97887, 114.02, 180, 12481, 103
2026/02/15 20:10:12.912, 99, 1, 1939, 97887, 114.36, 180, 12481, 103
2026/02/15 20:10:13.912, 99, 1, 1939, 97887, 113.57, 180, 12481, 103
2026/02/15 20:10:14.912, 100, 1, 1939, 97887, 114.16, 180, 12481, 103
2026/02/15 20:10:15.912, 99, 1, 1939, 97887, 114.35, 180, 12481, 103
2026/02/15 20:10:16.912, 100, 1, 1939, 97887, 113.82, 180, 12481, 103
2026/02/15 20:10:17.913, 99, 1, 1939, 97887, 113.90, 180, 12481, 103
2026/02/15 20:10:18.913, 99, 1, 1939, 97887, 114.20, 180, 12481, 103
2026/02/15 20:10:19.913, 99, 1, 1939, 97887, 113.58, 180, 12481, 103
2026/02/15 20:10:20.913, 100, 1, 1939, 97887, 114.49, 180, 12481, 103
2026/02/15 20:10:21.913, 100, 1, 1939, 97887, 114.53, 180, 12481, 103
2026/02/15 20:10:22.913, 99, 1, 1939, 97887, 114.60, 180, 12481, 103
2026/02/15 20:10:23.913, 100, 1, 1939, 97887, 114.11, 180, 12481, 103
2026/02/15 20:10:24.914, 99, 1, 1939, 97887, 114.03, 180, 12481, 103
2026/02/15 20:10:25.914, 99, 1, 1939, 97887, 114.64, 180, 12481, 103
2026/02/15 20:10:26.914, 99, 1, 1939, 97887, 114.21, 180, 12481, 103
2026/02/15 20:10:27.914, 100, 1, 1939, 97887, 114.52, 180, 12481, 103
2026/02/15 20:10:28.914, 99, 1, 1939, 97887, 114.48, 180, 12481, 103
2026/02/15 20:10:29.914, 99, 1, 1939, 97887, 114.25, 180, 12481, 103
2026/02/15 20:10:30.914, 100, 1, 1939, 97887, 114.63, 180, 12481, 103
2026/02/15 20:10:31.915, 100, 1, 1939, 97887, 113.54, 180, 12481, 103
2026/02/15 20:10:32.915, 100, 1, 1939, 97887, 110.06, 180, 12481, 103
2026/02/15 20:10:33.915, 100, 1, 1939, 97887, 109.26, 180, 12481, 103
2026/02/15 20:10:34.915, 100, 1, 1939, 97887, 109.86, 180, 12481, 103
2026/02/15 20:10:35.915, 100, 1, 1939, 97887, 109.56, 180, 12481, 103
2026/02/15 20:10:36.915, 100, 1, 1939, 97887, 109.74, 180, 12481, 103
2026/02/15 20:10:37.915, 100, 1, 1939, 97887, 109.53, 180, 12481, 103
2026/02/15 20:10:38.915, 100, 1, 1939, 97887, 109.99, 180, 12481, 103
2026/02/15 20:10:39.916, 100, 1, 1939, 97887, 109.75, 180, 12481, 103
2026/02/15 20:10:40.916, 100, 1, 1939, 97887, 109.79, 180, 12481, 103
2026/02/15 20:10:41.916, 100, 1, 1939, 97887, 110.20, 180, 12481, 103
2026/02/15 20:10:42.916, 100, 1, 1939, 97887, 109.07, 180, 12481, 103
2026/02/15 20:10:43.916, 100, 1, 1939, 97887, 110.12, 180, 12481, 103
2026/02/15 20:10:44.916, 100, 1, 1939, 97887, 109.25, 180, 12481, 103
2026/02/15 20:10:45.916, 100, 1, 1939, 97887, 110.19, 180, 12481, 103
2026/02/15 20:10:46.916, 100, 1, 1939, 97887, 109.62, 180, 12481, 103
2026/02/15 20:10:47.917, 100, 1, 1939, 97887, 109.99, 180, 12481, 103
2026/02/15 20:10:48.917, 100, 1, 1939, 97887, 110.42, 180, 12481, 103
2026/02/15 20:10:49.917, 100, 1, 1939, 97887, 109.97, 180, 12481, 103
2026/02/15 20:10:50.917, 100, 1, 1939, 97887, 110.22, 180, 12481, 103
2026/02/15 20:10:51.917, 100, 1, 1939, 97887, 109.58, 180, 12481, 103
2026/02/15 20:10:52.917, 100, 1, 1939, 97887, 110.62, 180, 12481, 104
2026/02/15 20:10:53.917, 100, 1, 1939, 97887, 109.33, 180, 12481, 104
